gender,vocal_feature
male,-214208.9264
female,-245195.761
female,-226982.235
female,-208902.9905
male,-180469.7533
female,-239673.8062
female,-236522.1469
female,-252375.5243
male,-182246.3169
female,-246594.2526
male,-189680.2987
female,-225634.3992
male,-227140.185
female,-212858.33
female,-254572.6879
female,-214181.2503
female,-183270.071
male,-191082.1375
male,-215374.4994
female,-214396.1408
male,-217321.1017
male,-204333.6809
male,-214293.1507
female,-244195.3978
male,-200819.243
male,-211467.9736
female,-243606.9676
male,-214876.7821
female,-265137.5689
male,-211310.8607
female,-213359.9015
female,-215339.4587
male,-187511.9547
male,-190550.0107
male,-204287.1717
male,-191474.3988
male,-212379.7319
male,-209541.6989
male,-195985.3968
female,-231904.8597
male,-195132.9348
female,-235007.7665
male,-210833.2795
female,-254225.2529
female,-211718.1898
female,-195058.2024
female,-241171.6814
female,-212757.3165
female,-210738.6425
female,-257866.238
female,-204630.2287
female,-241449.002
male,-210064.086
male,-188863.713
male,-206858.7324
female,-222337.4375
female,-220657.6112
female,-224740.0168
female,-215274.4893
female,-154656.9074
male,-211102.9429
male,-192085.9958
male,-199795.7001
male,-201704.0147
female,-221663.6076
female,-252021.7751
male,-203165.9941
male,-210743.3741
male,-201884.09
female,-243623.6204
female,-218179.2615
male,-211148.2493
male,-203040.7094
female,-219761.1779
female,-191035.2748
female,-227476.768
female,-248427.9623
female,-204207.881
female,-234746.1697
female,-233147.7844
male,-209646.1657
female,-169639.1274
female,-237846.8581
male,-162637.7444
female,-222260.8907
male,-213539.0682
male,-189243.3973
female,-244927.4203
female,-253428.8879
male,-192360.778
female,-237838.2063
male,-202796.9925
male,-185393.6614
male,-196904.2676
female,-219710.0401
male,-185737.8267
female,-207477.0968
male,-183834.4443
male,-199648.9194
female,-254132.3817
male,-213710.6346
female,-218065.364
male,-189299.6029
male,-196742.5356
female,-209649.2518
male,-199474.0949
female,-268003.986
female,-206849.1402
male,-211935.9333
male,-244501.8852
male,-197222.1472
male,-196130.5899
male,-212200.4294
male,-197509.4214
male,-191056.3326
female,-218657.0885
female,-238757.0493
female,-231928.3427
female,-246886.9632
male,-223026.2431
male,-184073.7068
male,-203071.012
male,-161132.0525
female,-216277.7933
female,-218071.1636
female,-229321.5998
male,-182568.6433
male,-215641.6416
male,-209315.7972
male,-161951.9662
male,-199921.1159
female,-233375.324
female,-271562.9004
male,-191064.4021
male,-163174.6339
female,-212520.2863
female,-296194.4522
female,-211505.7446
female,-236098.349
male,-206200.7556
female,-218525.5996
female,-270277.562
female,-235335.0192
male,-170740.99
female,-242895.8393
female,-222007.2106
male,-224089.93
male,-191071.8487
male,-167297.7092
female,-229507.2713
female,-200685.2122
female,-244183.9399
female,-273692.7665
female,-236206.7856
female,-216964.1456
male,-163364.1157
male,-178743.8107
female,-215614.2766
male,-196499.926
female,-259087.6293
male,-209574.4455
male,-218525.1378
male,-203050.3634
male,-186487.6792
female,-215959.6773
female,-228990.9272
female,-212060.8823
female,-243705.2132
male,-206280.8171
female,-221478.4964
female,-236161.406
male,-169225.2238
male,-178276.9722
female,-227092.4601
male,-213645.2284
male,-195274.4309
male,-211322.8462
male,-186700.8948
female,-211699.1648
male,-199228.536
male,-190511.3661
male,-193327.9538
female,-243547.3368
male,-171350.3689
male,-191944.7748
female,-218511.1313
male,-222153.4768
female,-250389.0314
female,-276610.3116
male,-270582.2068
female,-212539.3078
female,-224856.7243
male,-180816.1306
male,-203444.2573
male,-184901.7535
male,-206036.6061
female,-259099.4748
female,-209757.8065
male,-195139.9871
male,-196368.4754
female,-239212.8521
female,-213520.546
male,-195423.7669
male,-205210.6189
male,-215181.2547
male,-181522.478
male,-219768.1737
male,-159930.3073
female,-214029.8064
male,-214501.4567
female,-253071.7187
male,-204515.9586
male,-181680.3759
female,-229410.3867
male,-199184.7569
male,-219412.4398
male,-205501.0729
male,-217568.9524
male,-193993.3106
female,-220594.8597
female,-220477.7685
female,-218729.2943
male,-193882.145
female,-234393.6444
female,-228558.9351
male,-209104.6879
male,-214487.5496
male,-209316.8203
female,-216043.6734
female,-263618.7322
male,-180836.0106
male,-171859.6925
male,-185834.4393
male,-274600.3833
female,-221437.1347
male,-214531.4618
male,-204890.6852
female,-219562.5604
male,-194419.4838
female,-212256.032
female,-211707.9564
female,-228332.2472
female,-232353.257
female,-216444.8903
male,-191251.5203
male,-186821.1376
male,-210225.0675
male,-185055.7285
male,-209797.3871
female,-220747.8229
female,-204729.0418
male,-194108.6607
male,-205790.9271
female,-273137.8507
female,-217586.0378
male,-172973.8193
male,-158334.3757
male,-164077.216
male,-182880.5032
male,-208410.3543
male,-221813.0773
male,-207233.9886
female,-233514.9414
female,-256546.2262
male,-213696.2581
female,-239702.6693
male,-184240.6038
female,-207336.2751
female,-229374.9891
female,-262712.7231
male,-173705.1901
female,-226831.3711
female,-242299.13
male,-203009.7843
female,-208124.711
female,-218670.5931
female,-214435.2333
female,-214730.337
male,-205063.4694
female,-222511.0182
male,-195692.9996
male,-211559.1652
male,-185146.0616
female,-217264.51
female,-231589.0267
female,-252786.7785
female,-228936.7737
male,-193217.2145
male,-175023.5947
female,-236328.6682
female,-208710.5571
male,-178743.7525
male,-187692.5194
female,-180875.4394
female,-251862.7568
male,-170636.4339
female,-209167.7674
female,-210977.0803
male,-206272.7602
male,-200017.4205
male,-181045.7991
male,-191073.9159
female,-236797.4245
male,-216868.1099
male,-187663.4633
male,-202788.1703
male,-178502.3931
male,-167894.3431
female,-237269.9431
female,-213463.6994
male,-204243.7543
female,-228449.958
male,-220458.0577
female,-242083.1122
male,-235030.4797
male,-226600.7071
female,-239827.5224
male,-159175.2275
male,-203263.9817
male,-186408.0504
female,-231611.495
male,-213919.7689
female,-234599.3224
male,-189363.3276
male,-215210.0402
female,-255997.9227
female,-200656.5695
female,-240128.2577
male,-215565.9499
male,-196134.6473
female,-215502.4131
female,-230654.1674
female,-240865.5189
male,-184890.7547
female,-201973.7632
male,-164850.3322
female,-252657.0984
female,-236826.7526
male,-199503.9531
male,-217392.1763
male,-215833.2618
female,-237502.5933
male,-204512.3691
male,-205477.6627
female,-233333.9229
female,-216611.4683
male,-151353.816
female,-237739.5572
male,-162164.2735
female,-184434.1641
male,-193540.9337
female,-222702.7199
male,-182569.2652
female,-214354.9944
female,-225519.9607
female,-223497.2556
female,-205413.7735
female,-233145.0151
female,-235262.3983
female,-212607.801
male,-219323.5235
female,-237271.6541
female,-176007.1589
male,-207764.7768
male,-177232.3324
male,-184434.1667
female,-228912.414
female,-252996.6304
male,-212856.911
male,-219408.6158
female,-225910.9695
male,-203882.0257
male,-222475.6041
female,-238228.0343
male,-197067.3943
female,-231233.4696
female,-242647.2927
male,-168144.3275
male,-208827.4419
male,-271699.3342
female,-225375.8568
female,-229771.8779
female,-240831.7796
male,-196710.3987
male,-179273.7595
male,-159529.0616
male,-166115.4254
male,-146564.0696
male,-216346.4328
male,-177860.5421
female,-219006.9514
female,-221387.9122
female,-246212.2343
male,-218917.5379
male,-215774.4191
male,-189899.3776
female,-240796.2994
male,-184847.2082
